#GENE	CONDITION	INHERITANCE	AGE GROUP
MYH11	Aortic aneurysm, familial thoracic 4	AD	Pediatric
MYH14	Deafness, autosomal dominant 4; Deafness, autosomal dominant 4B; Peripheral neuropathy, myopathy, hoarseness, and hearing loss	AD	N/A
MYH2	Inclusion body myopathy 3	AD	N/A
MYH3	Arthrogryposis, distal, type 2A; Arthyrgryposis, distal, type 2B; Arthrogryposis, distal, type 8	AD	N/A
MYH6	Cardiomyopathy, dilated, 1EE; Cardiomyopathy, familial hypertrophic 14	AD	Pediatric
MYH7	Cardiomyopathy, dilated, 1S; Cardiomyopathy, familial hypertrophic; Myopathy, distal; Myopathy, myosin storage, autosomal recessive	AD/AR	Pediatric
MYH8	Carney complex variant; Arthrogryposis, distal, type 7; Trismus-pseudocamptodactyly syndrome 	AD	N/A
MYH9	Sebastian syndrome; May-Hegglin anomaly; Fechtner syndrome; Epstein syndrome; Macrothrombocytopenia and progressive sensorineural deafness	AD	Pediatric
MYL2	Cardiomyopathy, familial hypertrophic, 10	AD	Pediatric
MYL3	Cardiomyopathy, familial hypertrophic, 8	AD/AR	Pediatric
MYLK	Aortic aneurysm, familial thoracic 7	AD	Pediatric
MYLK2	Cardiomyopathy, hypertrophic	AD/Digenic	Pediatric
MYO15A	Deafness, autosomal recessive 3	AR	Pediatric
MYO18B	Klippel-Feil syndrome 4, autosomal recessive, with myopathy and facial dysmorphism	AR	N/A
MYO1A	Deafness, autosomal dominant 48	AD	Pediatric
MYO1E	Focal segmental glomerulosclerosis 6	AR	N/A
MYO3A	Deafness, autosomal recessive 30	AR	Pediatric
MYO5A	Griscelli syndrome, type 1	AR	N/A
MYO5B	Diarrhea 2, with microvillus atrophy	AR	Pediatric
MYO6	Deafness, autosomal recessive 37	AR	Pediatric
MYO7A	Deafness, autosomal recessive 2; Usher syndrome, type 1B	AR	Pediatric
MYOC	Glaucoma, primary open angle	AD/AR/Digenic	Pediatric
MYOT	Myopathy, myofibrillar, 3	AD	Pediatric
MYOZ2	Cardiomyopathy, familial hypertrophic, 16	AD	Pediatric
MYPN	Cardiomyopathy, dilated, 1KK; Cardiomyopathy, familial hypertrophic, 22; Cardiomyopathy, familial restrictive, 4	AD	Pediatric
MYT1L	Mental retardation, autosomal dominant 39	AD	N/A
NAA10	N-terminal acetyltransferase deficiency (Ogden syndrome)	XL	Pediatric
NADK2	2,4-dienoyl-CoA reductase deficiency	AR	N/A
NAGA	Kanzaki disease; Alpha-n-acetylgalactosaminidase deficiency; Schindler disease type I; Schindler disease type III	AR	N/A
NAGLU	Mucopolysaccharidosis type IIIB (Sanfilippo syndrome B)	AR	N/A
NAGS	N-acetylglutamate synthase deficiency	AR	Pediatric
NALCN	Congenital contractures of the limbs and face, hypotonia, and developmental delay; Neuroaxonal neurodegeneration, infantile, with facial dysmophism	AD/AR	N/A
NANOS1	Spermatogenic failure 12	AD	N/A
NARS2	Combined oxidative phosphorylation deficiency 24	AR	N/A
NAT1	Acetylation, NAT1-related	AD	Pediatric
NAT2	Acetylation, NAT2-related	AD	Pediatric
NAT8L	N-acetylaspartate deficiency	AR	N/A
NBAS	Infantile liver failure syndrome 2; Short stature, optic nerve atrophy, and Pelger-Huet anomaly (SOPH syndrome)	AR	N/A
NBEAL2	Gray platelet syndrome	AR	Pediatric
NBN	Breast cancer, susceptibility to; Nijmegen breakage syndrome	AD/AR	Pediatric (Nijmegen breakage syndrome); Adult (Breast cancer, susceptibility to)
NCF1	Chronic granulomatous disease, autosomal recessive, cytochrome b-positive, type I	AR	Pediatric
NCF2	Chronic granulomatous disease, autosomal recessive, cytochrome b-positive, type II	AR	Pediatric
NCF4	Granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type III	AR	Pediatric
NCSTN	Acne inversa, familial 1	AD	N/A
NDE1	Lissencephaly 4; Microhydranencephaly	AR	N/A
NDP	Norrie disease; Exudative vitreoretinopathy, 2, X-linked 	XL	N/A
NDRG1	Charcot-Marie-Tooth disease, type 4D	AR	N/A
NDST1	Mental retardation, autosomal recessive 46	AR	N/A
NDUFA1	Mitochondrial complex I deficiency	XL	N/A
NDUFA10	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A
NDUFA11	Mitochondrial complex I deficiency	AR	N/A
NDUFA12	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A
NDUFA13	Thyroid carcinoma, Hurthle cell	AD	Adult
NDUFA2	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A
NDUFA9	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A
NDUFAF1	Mitochondrial complex I deficiency	AR	N/A
NDUFAF2	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A
NDUFAF3	Mitochondrial complex I deficiency	AR	N/A
NDUFAF4	Mitochondrial complex I deficiency	AR	N/A
NDUFAF5	Mitochondrial complex I deficiency	AR	N/A
NDUFAF6	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A
NDUFB11	Linear skin defects with multiple congenital anomalies 3	AD	Pediatric
NDUFB3	Mitochondrial complex I deficiency	AR	N/A
NDUFS1	Mitochondrial complex I deficiency	AR	N/A
NDUFS2	Mitochondrial complex I deficiency	AR	N/A
NDUFS3	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A
NDUFS4	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A
NDUFS6	Mitochondrial complex I deficiency	AR	N/A
NDUFS7	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A
NDUFS8	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A
NDUFV1	Mitochondrial complex I deficiency	AR	N/A
NDUFV2	Mitochondrial complex I deficiency	AR	N/A
NEB	Nemaline myopathy 2	AR	N/A
NECAP1	Epileptic encephalopathy, early infantile 21	AR	N/A
NEFL	Charcot-Marie-Tooth disease, axonal, type 2E	AD	N/A
NEK1	Short-rib thoracic dysplasia 6 with or without polydactyly	AR/Digenic	N/A
NEK2	Retinitis pigmentosa 67	AR	N/A
NEK8	Nephronophthisis 9	AR	N/A
NEU1	Sialidosis, type I; Sialidosis, type II	AR	N/A
NEUROD1	Maturity onset diabetes of the young 6	AD	N/A
NEUROG3	Diarrhea 4, malabsorptive, congenital	AR	Pediatric
NEXN	Cardiomyopathy, familial hypertrophic, 20; Cardiomyopathy, dilated, 1CC	AD	Pediatric
NF1	Neurofibromatosis type 1, Neurofibromatosis-Noonan syndrome; Watson syndrome	AD	Pediatric
NF2	Neurofibromatosis type II; Schwannomatosis 2	AD	Pediatric
NFIX	Marshall-Smithsyndrome; Sotos syndrome 2	AD	N/A
NFKB1	Immunodeficiency, common variable, 12	AD	Pediatric
NFKB2	Immunodeficiency, common variable, 10	AD	Pediatric
NFKBIA	Ectodermal dysplasia, anhidrotic, with T-cell immunodeficiency	AD	Pediatric
NFU1	Multiple mitochondrial dysfunctions syndrome 1	AR	N/A
NGF	Neuropathy, hereditary sensory and autonomic, type V	AR	N/A
NGLY1	Congenital disorder of deglycosylation	AR	Pediatric
NHEJ1	Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation	AR	Pediatric
NHLRC1	Epilepsy, progressive myoclonic 2B (Lafora)	AR	N/A
NHP2	Dyskeratosis congenita, autosomal recessive 2	AR	Pediatric
NHS	Nance-Horan syndrome; Cataract 40	XL	N/A
NIN	Seckel syndrome 7	AR	N/A
NIPA1	Spastic paraplegia 6	AD	N/A
NIPAL4	Ichthyosis, congenital, autosomal recessive	AR	N/A
NIPBL	Cornelia de Lange syndrome 1	AD	N/A
NKX2-1	Choreoathetosis, hypothyroidism, and neonatal respiratory distress; Thyroid cancer, nonmedullary 1	AD	Pediatric/Adult
NKX2-5	Atrial septal defect 7, with or without AV conduction defects; Conotruncal heart malformations; Hypothyroidism, congenital nongoitrous, 5	AD	Pediatric
NKX2-6	Persistent truncus arteriosus; Conotruncal heart malformations	AR	N/A
NKX3-2	Spondylo-megaepiphyseal-metaphyseal dysplasia	AR	N/A
NLGN3	Asperger syndrome, X-linked 1; Autism, X-linked 1	XL	N/A
NLGN4X	Asperger syndrome, X-linked 2; Autism, X-linked 2; Mental retardation, X-linked	XL	N/A
NLRC4	Autoinflammation with infantile enterocolitis (AIFEC);  Familial cold autoinflammatory syndrome 4	AD	Pediatric
NLRP1	Corneal intraepithelial dyskeratosis and ectodermal dysplasia	AD	N/A
NLRP12	Familial cold autoinflammatory syndrome 2 	AD	Pediatric
NLRP3	Chronic Infantile Neurologic Cutaneous Articular (CINCA) syndrome; Neonatal Onset Multisystem Inflammatory Disease (NOMID); Muckle-Wells syndrome	AD	Pediatric
NLRP7	Hydatidiform mole	AR	Pediatric
NME8	Ciliary dyskinesia, primary, 6	AR	Pediatric
NNT	Glucocorticoid deficiency 4	AR	Pediatric
NOBOX	Premature ovarian failure 5	AD	Pediatric
NOD2	Blau syndrome; Sarcoidosis, early-onset	AD/AR	Pediatric
NODAL	Heterotaxy, visceral, 5	AD	N/A
NOG	Brachydactyly, type B2; Tarsal-carpal coalition syndrome; Multiple synostosis syndrome 1; Symphalangism, proximal; Stapes ankylosis with broad thumb and toes (Teunissen-Cremers syndrome)	AD	Pediatric
NOL3	Myoclonus, familial cortical	AD	N/A
NOP10	Dyskeratosis congenita, autosomal recessive 1	AR	Pediatric
NOP56	Spinocerebellar ataxia 36	AD 	N/A
NOTCH1	Aortic valve disease	AD	Pediatric
NOTCH2	Alagille syndrome 2	AD	Pediatric
NOTCH3	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL)	AD	Pediatric
NPC1	Niemann-Pick disease, type C1; Niemann-Pick disease, type D 	AR	N/A
NPC1L1	Ezetimibe, nonresponse to	AD/AR	Pediatric
NPC2	Niemann-pick disease, type C2	AR	N/A
NPHP1	Joubert syndrome 4; Senior-Loken syndrome 1; Nephronophthisis 1	AR	N/A
NPHP3	Nephronophthisis 3; Meckel syndrome 7; Renal-hepatic-pancreatic dysplasia 	AR	N/A
NPHP4	Nephronophthisis 4; Senior-Loken syndrome 4	AR	N/A
NPHS1	Nephrotic syndrome, type 1	AR	N/A
NPHS2	Nephrotic syndrome, type 2	AR	N/A
NPPA	Atrial fibrillation, familial, 6; Atrial standstill 2	AD/AR	Adult
NPR2	Epiphyseal chondrodysplasia, Miura type; Short stature with nonspecific skeletal abnormalities; Acromesomelic dysplasia, Maroteaux type	AD/AR	N/A
NR0B1	Adrenal hypoplasia, congenital; 46,XY sex reversal 2 	XL	Pediatric
NR2E3	Enhanced S-cone syndrome; Retinitis pigmentosa 37	AD/AR	N/A
NR2F1	Bosch-Boonstra optic atrophy syndrome	AD	N/A
NR2F2	Congenital heart defects 4	AD	N/A
NR3C1	Glucocorticoid resistance	AD/AR	Pediatric
NR3C2	Pseudohypoaldosteronism type I, autosomal dominant; Hypertension, early-onset, autosomal dominant, with exacerbation in pregnancy	AD	Pediatric
NR5A1	Adrenocortical insufficiency; 46, XY sex reversal, 3; Premature ovarian failure 7	AD/AR	Pediatric
NRAS	Autoimmune lymphoproliferative syndrome type IV; Noonan syndrome 6	AD	Pediatric
NRIP1	Schizophrenia	AD	N/A
NRL	Retinitis pigmentosa 27; Clumped pigmentary retinal degeneration	AD/AR	N/A
NRXN1	Schizophrenia 17; Pitt-Hopkins-like syndrome 2	AD/AR	N/A
NSD1	Sotos syndrome; Weaver syndrome; Beckwith-Wiedemann syndrome	AD	Pediatric
NSDHL	Congenital hemidysplasia with ichthyosiform erythroderma and limb defects (CHILD syndrome); CK syndrome	XL	N/A
NSMF	Hypogonadotropic hypogonadism 9 with or without anosmia	AD	Pediatric
NT5C2	Spastic paraplegia 45	AR	N/A
NT5C3A	Uridine 5-prime monophosphate hydrolase deficiency, hemolytic anemia due to	AR	Pediatric
NT5E	Calcification of joints and arteries	AR	N/A
NTF4	Glaucoma 1, open angle, O	AD	Adult
NTHL1	Familial adenomatous polyposis, 3	AR	Adult
NTRK1	Insensitivity to pain, congenital, with anhidrosis	AR	Pediatric
NTRK2	Obesity, hyperphagia, and developmental delay	AD	N/A
NUBPL	Mitochondrial complex I deficiency	AR	N/A
NUP155	Atrial fibrillation 15	AR	Pediatric
NUP62	Striatonigral degeneration, infantile	AR	N/A
NXF5	Familial heart block and focal segmental glomerulosclerosis	XL	Pediatric
NYX	Night blindness, congenital stationary, type 1A	XL	N/A
OAT	Gyrate atrophy of choroid and retina	AR	Pediatric
OBSL1	Three M syndrome 2	AR	N/A
OCA2	Albinism, oculocutaneous, type II; Albinism, brown oculocutaneous; Skin/hair/eye pigmentation 1	AD/AR	N/A
OCLN	Band-like calcification with simplified gyration and polymicrogyria	AR	N/A
OCRL	Dent disease 2; Lowe syndrome	XL	Pediatric
ODAM	Amelogenesis imperfecta, hypomaturation type, IIA4	AR	N/A
OFD1	Orofaciodigital syndrome 1; Simpson-Golabi-Behmel syndrome type 2; Joubert syndrome 10; Retinitis pigmentosa 23	XL	N/A
OPA1	Glaucoma, normal tension, susceptibility to	AD	Adult
OPA3	3-methylglutaconic aciduria, type III; Optic atrophy 3, autosomal dominant	AD/AR	N/A
OPHN1	Mental retardation, X-linked, with cerebellar hypoplasia and distinctive facial appearance	XL	N/A
OPLAH	5-oxoprolinase deficiency	AR	N/A
OPN1LW	Colorblindness, partial, protan series; Blue cone monochromacy; Red cone polymorphism	XL (involving both OPN1 genes)	N/A
OPN1MW	Colorblindness, partial, deutan series; Cone dystrophy 5, X-linked; Blue cone monochromacy	XL (involving both OPN1 genes)	N/A
OPN1SW	Tritanopia	AD	N/A
OPTN	Glaucoma, normal tension, susceptibility to; Glaucoma 1, open angle, E 	AD	Adult
ORAI1	Immunodeficiency 9	AR	Pediatric
ORC1	Meier-Gorlin syndrome 1	AR	N/A
ORC4	Meier-Gorlin syndrome 2	AR	N/A
ORC6	Meier-Gorlin syndrome 3	AR	N/A
OSBPL2	Deafness, autosomal dominant 67	AD	N/A
OSMR	Amyloidosis, primary localized cutaneous, 1	AD	N/A
OSTM1	Osteopetrosis, autosomal recessive 5	AR	N/A
OTC	Ornithine transcarbamylase deficiency	XL	Pediatric
OTOA	Deafness, autosomal recessive 22	AR	Pediatric
OTOF	Deafness, autosomal recessive 9; Neuropathy, autosomal recessive, 1	AR	Pediatric
OTOG	Deafness, autosomal recessive 18B	AR	Pediatric
OTOGL	Deafness, autosomal recessive 84B	AR	Pediatric
OTX2	Pituitary hormone deficiency, combined 6; Microphthalmia, syndromic 5; Retinal dystrophy, early-onset, and pituitary dysfunction	AD	Pediatric
OXCT1	Succinyl CoA:3-oxoacid CoA transferase deficiency	AR	Pediatric
P2RX2	Deafness, autosomal dominant 41	AD	N/A
P2RY12	Bleeding disorder, platelet-type, 8	AD/AR	Pediatric
P3H1	Osteogenesis imperfecta, type VIII	AR	N/A
P3H2	Myopia, high, with cataract and vitreoretinal degeneration	AR	N/A
P4HB	Cole Carpenter syndrome 1	AD	N/A
PABPN1	Oculopharyngeal muscular dystrophy	AD/AR	N/A
PACS1	Mental retardation, autosomal dominant 17	AD	N/A
PAFAH1B1	Lissencephaly 1; Subcortical laminar heterotopia	AD	N/A
PAH	Phenylketonuria; Hyperphenylalaninemia, non-PKU mild	AR	Pediatric
PAK3	Mental retardation, X-linked 30	XL	N/A
PALB2	Breast cancer; Pancreatic cancer, susceptibility to 3; Fanconi anemia, complementation group N	AD/AR	Pediatric (Fanconi anemia, complementation group N); Adult (Breast cancer, Pancreatic cancer, susceptibility to 3)
PAM16	Spondylometaphyseal dysplasia, Megarbane-Dagher-Melki type	AR	N/A
PANK2	Hypoprebetalipoproteinemia, acanthocytosis, retinitis pigmentosa, and pallidal degeneration; Neurodegeneration with brain iron accumulation 1  	AD/AR	N/A
PAPSS2	Brachyolmia 4 with mild epiphyseal and metaphyseal changes	AR	N/A
PARK2	Parkinson disease 2, autosomal recessive juvenile	AR	N/A
PARK7	Parkinson disease 7, autosomal recessive early-onset	AR	N/A
PARN	Pulmonary fibrosis and/or bone marrow failure, telomere-related 4; Dyskeratosis congenita, autosomal recessive 6	AD/AR	Pediatric
PAX1	Otofaciocervical syndrome 2	AR	Pediatric
PAX2	Isolated renal hypoplasia; Papillorenal syndrome	AD	Pediatric
PAX3	Waardenburg syndrome, type 1; Waardenburg syndrome, type 3; Craniofacial-deafness-hand syndrome	AD/AR  	Pediatric
PAX4	Diabetes mellitus	AD	N/A
PAX5	Pre-B cell acute lymphoblastic leukemia	AD	Pediatric
PAX6	Peters anomaly; Cataract with late-onset corneal dystrophy; Aniridia; Aniridia, cerebellar ataxia, and mental retardation (Gillespie syndrome); Optic nerve hypoplasia; Keratitis; Foveal hypoplasia 1; Coloboma, ocular; Morning glory disc anomaly	AD	Pediatric
PAX8	Hypothyroidism, congenital, nongoitrous 2	AD	Pediatric
PAX9	Tooth agenesis, selective, 3	AD	N/A
PC	Pyruvate carboxylase deficiency	AR	Pediatric
PCBD1	Hyperphenylalaninemia, BH4-deficient, D	AR	Pediatric
PCCA	Propionic acidemia	AR	Pediatric
PCCB	Propionic acidemia	AR	Pediatric
PCDH15	Deafness, autosomal recessive 23; Usher syndrome, type 1F; Usher syndrome, type 1D/F, digenic	AR/Digenic	Pediatric
PCDH19	Epileptic encephalopathy, early infantile, 9	XL	N/A
PCNA	Ataxia-telangiectasia-like disorder 2	AR	Pediatric
PCNT	Microcephalic osteodysplastic primordial dwarfism, type II	AR	N/A
PCSK1	Proprotein convertase 1/3 deficiency	AD	N/A
PCSK9	Hypercholesterolemia, familial, 3	AD	Pediatric
PCYT1A	Spondylometaphyseal dysplasia with cone-rod dystrophy	AR	N/A
PDCD10	Cerebral cavernous malformations 3	AD	Pediatric
PDE11A	Pigmented nodular adrenocortical disease, primary, 2	AD	Pediatric
PDE3A	Hypertension with brachydactyly	AD	Pediatric
PDE4D	Acrodysostosis 2, with or without hormone resistance	AD	Pediatric
PDE6A	Retinitis pigmentosa 43	AR	N/A
PDE6B	Night blindness, congenital stationary, autosomal dominant 2; Retinitis pigmentosa 40	AD/AR	N/A
PDE6C	Cone dystrophy 4	AR	N/A
PDE6D	Joubert syndrome 22	AR	N/A
PDE6G	Retinitis pigmentosa 57	AR	N/A
PDE6H	Achromatopsia 6; Retinal cone dystrophy 3A	AD/AR	N/A
PDE8B	Pigmented nodular adrenocortical disease, primary, 3	AD	Pediatric
PDGFRA	Gastrointestinal stromal tumor	AD	Adult
PDGFRB	Basal ganglia calcification, idiopathic, 4; Kosaki overgrowth syndrome; Myofibromatosis, infantile 1; Premature aging syndrome, Penttinen type	AD	N/A
PDHA1	Pyruvate dehydrogenase E1-alpha deficiency; Leigh syndrome, X-linked	XL	Pediatric
PDHB	Pyruvate dehydrogensae E1-beta deficiency	AR	N/A
PDHX	Pyruvate dehydrogenase E3-binding protein deficiency	AR	Pediatric
PDK3	Charcot-Marie-Tooth disease, X-linked	XL	N/A
PDP1	Pyruvate dehydrogenase phosphatase deficiency	AR	N/A
PDSS1	Coenzyme Q10 deficiency 2	AR	Pediatric
PDSS2	Coenzyme Q10 deficiency 3	AR	Pediatric
PDX1	Pancreatic agenesis 1; Neonatal diabetes mellitus	AR	Pediatric
PDYN	Spinocerebellar ataxia 23	AD	N/A
PDZD7	Usher syndrome, type IIC	Digenic	Pediatric
PEPD	Prolidase deficiency	AR	Pediatric
PER2	Advanced sleep phase syndrome, familial	AD	N/A
PET100	Mitochondrial complex IV deficiency	AR	N/A
PEX1	Heimler syndrome 1	AR	Pediatric
PEX10	Peroxisome biogenesis disorder 6B; Peroxisome biogenesis factor disorder 10; Adrenoleukodystrophy, neonatal; Zellweger syndrome; Ataxia, autosomal recessive	AR	N/A
PEX11B	Peroxisome biogenesis factor disorder 14B	AR	N/A
PEX12	Peroxisome biogenesis disorder 3A; Peroxisome biogenesis factor disorder 3B	AR	N/A
PEX13	Peroxisome biogenesis factor disorder 13; Zellweger syndrome; Adrenoleukodystrophy, neonatal 	AR	N/A
PEX14	Peroxisome biogenesis factor disorder 14; Zellweger syndrome	AR	N/A
PEX16	Peroxisome biogenesis factor disorder 16	AR	N/A
PEX19	Peroxisome biogenesis disorder, 19; Zellweger syndrome	AR	N/A
PEX2	Peroxisome biogenesis disorder 5A; Peroxisome biogenesis disorder 5B	AR	N/A
PEX26	Peroxisome biogenesis factor disorder, 26; Adrenoleukodystrophy, neonatal; Refsum disease, infantile; Zellweger syndrome	AR	N/A
PEX3	Peroxisome biogenesis factor disorder 3; Zellwegger syndrome complementation group G	AR	N/A
PEX5	Peroxisome biogenesis disorder, 5; Zellweger syndrome; Adrenoleukodystrophy, neonatal	AR	N/A
PEX6	Heimler syndrome 2	AR	Pediatric
PEX7	Refsum disease	AR	Pediatric
PFKM	Glycogen storage disease VII	AR	Pediatric
PFN1	Amyotrophic lateral sclerosis 18	AD	N/A
PGAM2	Glycogen storage disease X	AR	Pediatric
PGAP1	Mental retardation, autosomal recessive 42	AR	N/A
PGAP2	Hyperphosphatasia with mental retardation syndrome 3	AR	N/A
PGAP3	Hyperphosphatasia with mental retardation syndrome 4	AR	N/A
PGK1	Phosphoglycerate kinase 1 deficiency	XL	Pediatric
PGM1	Congenital disorder of glycosylation, type It	AR	Pediatric
PGM3	Immunodeficiency 23	AR	Pediatric
PHC1	Primary microcephaly 11	AR	N/A
PHEX	Hypophosphatemic rickets, X-linked dominant	XL	Pediatric
PHF6	Borjeson-Forssman-Lehmann syndrome	XL	N/A
PHF8	Mental retardation syndrome, X-linked, Siderius type	XL	N/A
PHGDH	Phosphoglycerate dehydrogenase deficiency	AR	Pediatric
PHKA1	Glycogen storage disease, type Ixd	XL	Pediatric
PHKA2	Glycogen storage disease, type IXa1/Glycogen storage disease, type IXa2 (Phosphorylase kinase deficiency)	XL	Pediatric
PHKB	Glycogen storage disease IXb	AR	Pediatric
PHKG2	Glycogen storage disease IXc	AR	Pediatric
PHOX2A	Fibrosis of extraocular muscles, congenital, 2	AR	N/A
PHOX2B	Central hypoventilation syndrome, congenital; Neuroblastoma with Hirschsprung disease; Neuroblastoma, susceptiblity to, 2	AD	Pediatric
PHYH	Refsum disease	AR	Pediatric
PHYKPL	Phosphohydroxylysinuria 	AR	N/A
PI4KA	Perisylvian polymicrogyria, cerebellar hypoplasia, and arthrogryposis	AR	N/A
PIEZO1	Dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema	AD	Pediatric
PIEZO2	Distal arthrogryposis type 3; Distal arthrogryposis type 5; Marden-Walker syndrome	AD	N/A
PIGA	Multiple congenital anomalies-hypotonia-seizures syndrome 2	XL	N/A
PIGM	Glycosylphosphatidylinositol deficiency	AR	Pediatric
PIGN	Multiple congenital anomalies-hypotonia-seizures syndrome 1	AR	N/A
PIGO	Hyperphosphatasia with mental retardation syndrome 2	AR	N/A
PIGV	Hyperphosphatasia with mental retardation syndrome 1	AR	N/A
PIGW	Hyperphosphatasia with mental retardation syndrome 5	AR	N/A
PIK3CA	Cowden syndrome 5	AD	Adult
PIK3CD	Immunodeficiency 14	AD	Pediatric
PIK3R1	Agammaglobulinemia 7, autosomal recessive	AR	Pediatric
PIK3R2	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1	AD	N/A
